start_price,end_price,width,num_prices,prices,feasible
1.0,1.0,0.0,1,[1.0],False
1.0,2.8,1.7999999999999998,2,"[1.0, 2.8]",False
1.0,4.6,3.5999999999999996,3,"[1.0, 2.8, 4.6]",False
1.0,6.4,5.4,4,"[1.0, 2.8, 4.6, 6.4]",False
1.0,8.2,7.199999999999999,5,"[1.0, 2.8, 4.6, 6.4, 8.2]",False
1.0,10.0,9.0,6,"[1.0, 2.8, 4.6, 6.4, 8.2, 10.0]",False
2.8,2.8,0.0,1,[2.8],False
2.8,4.6,1.7999999999999998,2,"[2.8, 4.6]",False
2.8,6.4,3.6000000000000005,3,"[2.8, 4.6, 6.4]",False
2.8,8.2,5.3999999999999995,4,"[2.8, 4.6, 6.4, 8.2]",False
2.8,10.0,7.2,5,"[2.8, 4.6, 6.4, 8.2, 10.0]",False
4.6,4.6,0.0,1,[4.6],False
4.6,6.4,1.8000000000000007,2,"[4.6, 6.4]",False
4.6,8.2,3.5999999999999996,3,"[4.6, 6.4, 8.2]",False
4.6,10.0,5.4,4,"[4.6, 6.4, 8.2, 10.0]",False
6.4,6.4,0.0,1,[6.4],False
6.4,8.2,1.799999999999999,2,"[6.4, 8.2]",False
6.4,10.0,3.5999999999999996,3,"[6.4, 8.2, 10.0]",False
8.2,8.2,0.0,1,[8.2],False
8.2,10.0,1.8000000000000007,2,"[8.2, 10.0]",False
10.0,10.0,0.0,1,[10.0],False
